---------------------------------------
Begin Slurm Prolog: Apr-24-2025 13:17:55
Job ID:    4157959
User ID:   jyang872
Account:   gts-jscott319
Job name:  crude_selection
Partition: cpu-large
QOS:       inferno
---------------------------------------

CommandNotFoundError: Your shell has not been properly configured to use 'conda deactivate'.
To initialize your shell, run

    $ conda init <SHELL_NAME>

Currently supported shells are:
  - bash
  - fish
  - tcsh
  - xonsh
  - zsh
  - powershell

See 'conda init --help' for more information and options.

IMPORTANT: You may need to close and restart your shell after running 'conda init'.



Due to MODULEPATH changes, the following have been reloaded:
  1) gmp/6.2.1     2) mpc/1.3.1     3) mpfr/4.2.0     4) zlib/1.2.13

Solving the problem via SBB...
	Maximum iteration: 100000000.0
	Maximum time: 86400
	Tolerance: 1E-03
Initialize the model...
	Root node lower bound: -20388.34, upper bound: -18350.15
	Total initialization CPU time: 22.25 s
Done.
Solving the model...
================================================================================
  iteration     CPU time    wall time  lower bound  upper bound     gap
         1        53.48        15.12   -20388.3402   -18350.1470   11.1072%
         2        81.54        23.02   -20338.3083   -18350.1470   10.8346%
         3       115.59        32.77   -20303.6149   -18350.1470   10.6455%
         4       144.26        40.55   -20303.6149   -18350.1470   10.6455%
         5       173.14        48.99   -20303.6149   -18350.1470   10.6455%
         6       200.25        56.44   -20300.5881   -18350.1470   10.6290%
         7       227.80        64.49   -20290.8362   -18350.1470   10.5759%
         8       254.25        71.85   -20260.2044   -18350.1470   10.4089%
         9       280.94        79.77   -20260.2044   -18350.1470   10.4089%
        10       307.00        87.52   -20260.2044   -18350.1470   10.4089%
        11       336.06        95.31   -20042.0667   -18350.1470   9.2202%
        12       363.35       103.04   -19987.8172   -18350.1470   8.9246%
        13       386.18       110.17   -19987.8172   -18350.1470   8.9246%
        14       407.51       118.39   -19982.8221   -18350.1470   8.8973%
        15       435.48       126.38   -19982.8221   -18350.1470   8.8973%
        16       462.48       134.53   -19982.8221   -18350.1470   8.8973%
        17       491.58       142.55   -19941.0758   -18350.1470   8.6698%
        18       518.06       150.69   -19941.0758   -18350.1470   8.6698%
        19       543.00       158.33   -19931.7805   -18350.1470   8.6192%
        20       563.24       166.48   -19899.9184   -18350.1470   8.4456%
        21       595.96       175.16   -19885.8331   -18350.1470   8.3688%
        22       630.18       184.11   -19881.8004   -18350.1470   8.3468%
        23       651.19       191.92   -19877.4251   -18350.1470   8.3230%
