---------------------------------------
Begin Slurm Prolog: Apr-22-2025 20:35:28
Job ID:    4134451
User ID:   jyang872
Account:   gts-jscott319
Job name:  crude_selection
Partition: cpu-large
QOS:       inferno
---------------------------------------

CommandNotFoundError: Your shell has not been properly configured to use 'conda deactivate'.
To initialize your shell, run

    $ conda init <SHELL_NAME>

Currently supported shells are:
  - bash
  - fish
  - tcsh
  - xonsh
  - zsh
  - powershell

See 'conda init --help' for more information and options.

IMPORTANT: You may need to close and restart your shell after running 'conda init'.



Due to MODULEPATH changes, the following have been reloaded:
  1) gmp/6.2.1     2) mpc/1.3.1     3) mpfr/4.2.0     4) zlib/1.2.13

Solving the problem via SBB...
	Maximum iteration: 100000000.0
	Maximum time: 86400
	Tolerance: 1E-03
Initialize the model...
	Root node lower bound: -20388.34, upper bound: -18350.15
	Total initialization CPU time: 20.92 s
Done.
Solving the model...
================================================================================
  iteration     CPU time    wall time  lower bound  upper bound     gap
         1        50.56        12.53   -20388.3402   -18350.1469   11.1072%
         2        77.97        19.90   -20338.3083   -18350.1469   10.8346%
         3       111.14        28.95   -20303.6149   -18350.1469   10.6455%
         4       139.17        36.21   -20303.6149   -18350.1469   10.6455%
         5       168.04        43.79   -20303.6149   -18350.1469   10.6455%
         6       195.06        50.94   -20300.5881   -18350.1469   10.6290%
         7       222.14        58.51   -20290.8362   -18350.1469   10.5759%
         8       247.94        65.36   -20260.2044   -18350.1469   10.4089%
         9       274.16        72.92   -20260.2044   -18350.1469   10.4089%
        10       299.70        80.10   -20260.2044   -18350.1469   10.4089%
        11       328.11        87.34   -20042.0667   -18350.1469   9.2202%
        12       354.72        95.38   -19987.8172   -18350.1469   8.9246%
        13       377.01       101.90   -19987.8172   -18350.1469   8.9246%
        14       398.28       109.31   -19982.8221   -18350.1469   8.8973%
        15       426.15       117.18   -19982.8221   -18350.1469   8.8973%
        16       452.90       124.22   -19982.8221   -18350.1469   8.8973%
        17       481.61       132.27   -19941.0758   -18350.1469   8.6698%
        18       507.33       139.46   -19941.0758   -18350.1469   8.6698%
        19       531.48       146.19   -19931.7805   -18350.1469   8.6192%
        20       551.64       153.55   -19899.9184   -18350.1469   8.4456%
        21       584.04       162.14   -19885.8331   -18350.1469   8.3688%
        22       617.40       170.54   -19881.8004   -18350.1469   8.3468%
        23       637.91       177.84   -19877.4251   -18350.1469   8.3230%
        24       664.76       185.27   -19871.8087   -18350.1469   8.2924%
        25       686.97       192.95   -19871.1599   -18350.1469   8.2888%
        26       718.38       201.80   -19871.1601   -18350.1469   8.2888%
        27       747.49       209.37   -19871.1599   -18350.1469   8.2888%
        28       774.69       216.69   -19855.1781   -18350.1469   8.2017%
        29       802.33       224.24   -19855.0381   -18350.1469   8.2010%
        30       832.90       231.65   -19855.0381   -18350.1469   8.2010%
        31       861.66       239.04   -19836.3171   -18350.1469   8.0990%
        32       889.27       246.68   -19830.7610   -18350.1469   8.0687%
        33       920.07       255.14   -19830.7610   -18350.1469   8.0687%
        34       949.59       263.04   -19829.9696   -18350.1469   8.0644%
        35       976.22       270.53   -19815.3444   -18350.1469   7.9847%
        36      1005.32       278.27   -19811.9588   -18350.1469   7.9662%
        37      1034.08       285.95   -19811.9588   -18350.1469   7.9662%
        38      1063.37       294.18   -19806.8518   -18350.1469   7.9384%
        39      1080.84       300.58   -19794.4610   -18350.1469   7.8709%
        40      1107.67       308.31   -19788.3255   -18350.1469   7.8374%
        41      1126.80       315.83   -19782.7390   -18350.1469   7.8070%
        42      1144.56       322.37   -19780.5001   -18350.1469   7.7948%
        43      1157.31       326.66   -19780.5001   -18350.1469   7.7948%
        44      1184.96       333.66   -19770.8274   -18350.1469   7.7421%
        45      1213.59       341.07   -19766.0889   -18350.1469   7.7162%
        46      1242.50       348.54   -19765.7159   -18350.1469   7.7142%
        47      1256.77       353.33   -19765.7159   -18350.1469   7.7142%
        48      1281.26       360.09   -19760.9731   -18350.1469   7.6884%
        49      1305.20       366.69   -19758.8808   -18350.1469   7.6770%
        50      1326.27       374.02   -19738.1370   -18350.1469   7.5639%
        51      1350.19       380.69   -19738.1370   -18350.1469   7.5639%
        52      1384.74       389.74   -19730.5018   -18350.1469   7.5223%
        53      1414.94       397.31   -19725.7456   -18350.1469   7.4964%
        54      1439.23       404.57   -19725.5082   -18350.1469   7.4951%
        55      1471.49       413.18   -19724.7703   -18350.1469   7.4911%
        56      1499.86       420.64   -19722.4822   -18350.1469   7.4786%
        57      1529.48       428.52   -19708.8558   -18350.1469   7.4043%
        58      1555.96       435.46   -19706.2519   -18350.1469   7.3902%
        59      1581.74       442.82   -19705.8928   -18350.1469   7.3882%
        60      1611.17       450.40   -19705.8928   -18350.1469   7.3882%
        61      1631.33       457.24   -19704.7301   -18350.1469   7.3819%
        62      1645.79       461.56   -19704.7301   -18350.1469   7.3819%
        63      1669.50       468.26   -19691.4801   -18350.1469   7.3097%
        64      1698.07       475.79   -19689.2231   -18350.1469   7.2974%
        65      1719.17       482.95   -19682.8992   -18350.1469   7.2629%
        66      1746.53       490.60   -19682.1620   -18350.1469   7.2589%
        67      1774.02       497.85   -19671.4802   -18350.1469   7.2007%
        68      1799.01       504.75   -19668.5707   -18350.1469   7.1848%
        69      1815.91       509.93   -19668.5707   -18350.1469   7.1848%
        70      1848.44       518.43   -19667.3767   -18350.1469   7.1783%
        71      1867.84       524.87   -19666.9244   -18350.1469   7.1758%
        72      1902.75       533.48   -19663.9708   -18350.1469   7.1597%
        73      1919.79       540.13   -19661.7236   -18350.1469   7.1475%
        74      1944.79       547.35   -19655.1847   -18350.1469   7.1119%
        75      1963.89       554.57   -19653.4541   -18350.1469   7.1024%
        76      1987.15       561.05   -19652.2106   -18350.1469   7.0957%
        77      2017.85       568.71   -19649.7624   -18350.1469   7.0823%
        78      2036.86       576.05   -19644.4702   -18350.1469   7.0535%
        79      2054.39       582.56   -19642.3868   -18350.1469   7.0421%
        80      2083.16       590.89   -19640.4779   -18350.1469   7.0317%
        81      2111.99       598.54   -19637.4763   -18350.1469   7.0154%
        82      2133.05       605.86   -19636.6593   -18350.1469   7.0109%
        83      2162.86       614.11   -19633.5354   -18350.1469   6.9939%
        84      2185.13       620.74   -19633.5321   -18350.1469   6.9939%
        85      2214.22       628.55   -19630.4767   -18350.1469   6.9772%
        86      2233.44       635.77   -19630.3560   -18350.1469   6.9766%
        87      2250.68       642.42   -19628.7318   -18350.1469   6.9677%
        88      2274.44       649.27   -19626.2686   -18350.1469   6.9543%
        89      2290.01       654.15   -19626.2686   -18350.1469   6.9543%
        90      2310.99       660.84   -19620.6173   -18350.1469   6.9235%
        91      2339.09       668.10   -19620.1293   -18350.1469   6.9208%
        92      2357.84       675.45   -19620.0250   -18350.1469   6.9203%
        93      2382.21       682.45   -19620.0244   -18350.1469   6.9203%
        94      2395.27       688.13   -19620.0244   -18350.1469   6.9203%
        95      2425.42       695.68   -19618.4046   -18350.1469   6.9114%
        96      2439.48       700.56   -19618.4046   -18350.1469   6.9114%
        97      2458.11       707.91   -19617.5519   -18350.1469   6.9068%
        98      2488.97       715.80   -19616.4821   -18350.1469   6.9010%
        99      2510.44       723.65   -19615.9840   -18350.1469   6.8982%
       100      2532.19       731.21   -19614.5937   -18350.1469   6.8907%
       101      2556.14       738.02   -19613.1594   -18350.1469   6.8828%
       102      2571.47       744.60   -19613.1594   -18350.1469   6.8828%
       103      2592.85       751.32   -19613.1530   -18350.1469   6.8828%
       104      2608.40       756.46   -19613.1530   -18350.1469   6.8828%
       105      2628.94       763.13   -19613.1530   -18350.1469   6.8828%
       106      2659.43       771.54   -19612.0755   -18350.1469   6.8769%
       107      2686.25       778.73   -19611.7916   -18350.1469   6.8754%
       108      2705.42       785.67   -19610.9125   -18350.1469   6.8706%
       109      2734.51       793.13   -19610.9125   -18350.1469   6.8706%
       110      2754.40       800.64   -19610.7312   -18350.1469   6.8696%
       111      2780.51       808.34   -19610.5671   -18350.1469   6.8687%
       112      2809.48       816.12   -19610.5671   -18350.1469   6.8687%
       113      2836.35       823.66   -19607.9884   -18350.1469   6.8547%
       114      2849.79       829.63   -19602.8828   -18350.1469   6.8268%
       115      2864.41       836.22   -19602.0706   -18350.1469   6.8224%
       116      2895.17       843.84   -19602.0706   -18350.1469   6.8224%
       117      2918.92       850.09   -19602.0219   -18350.1469   6.8222%
       118      2944.56       857.37   -19601.3488   -18350.1469   6.8185%
       119      2969.52       864.22   -19598.4953   -18350.1469   6.8029%
       120      2993.78       871.17   -19598.3859   -18350.1469   6.8023%
       121      3021.98       878.52   -19596.4461   -18350.1469   6.7918%
       122      3034.93       883.21   -19596.4461   -18350.1469   6.7918%
       123      3048.19       887.47   -19596.4461   -18350.1469   6.7918%
       124      3073.30       894.59   -19595.1013   -18350.1469   6.7844%
       125      3099.73       902.74   -19594.3426   -18350.1469   6.7803%
       126      3121.52       909.01   -19594.0035   -18350.1469   6.7785%
       127      3139.50       916.16   -19593.1589   -18350.1469   6.7739%
       128      3158.15       922.80   -19591.5684   -18350.1469   6.7652%
       129      3181.47       929.59   -19591.4336   -18350.1469   6.7645%
       130      3206.71       936.74   -19589.5661   -18350.1469   6.7543%
       131      3231.30       943.40   -19589.0983   -18350.1469   6.7517%
       132      3258.01       951.15   -19589.0801   -18350.1469   6.7516%
       133      3283.69       958.26   -19589.0801   -18350.1469   6.7516%
       134      3313.31       966.14   -19587.6744   -18350.1469   6.7440%
       135      3338.19       973.24   -19584.5788   -18350.1469   6.7271%
       136      3362.99       980.64   -19583.6204   -18350.1469   6.7219%
       137      3389.55       988.02   -19582.0721   -18350.1469   6.7134%
       138      3413.98       995.36   -19581.6167   -18350.1469   6.7110%
       139      3435.71      1004.38   -19578.0658   -18350.1469   6.6916%
       140      3464.24      1012.28   -19576.4173   -18350.1469   6.6826%
       141      3477.38      1016.69   -19576.4173   -18350.1469   6.6826%
       142      3493.57      1022.94   -19575.1166   -18350.1469   6.6755%
       143      3521.00      1030.17   -19575.0572   -18350.1469   6.6752%
       144      3548.62      1038.06   -19573.1046   -18350.1469   6.6646%
