---------------------------------------
Begin Slurm Prolog: Apr-22-2025 20:35:58
Job ID:    4134455
User ID:   jyang872
Account:   gts-jscott319
Job name:  ex8_4_4
Partition: cpu-large
QOS:       inferno
---------------------------------------

CommandNotFoundError: Your shell has not been properly configured to use 'conda deactivate'.
To initialize your shell, run

    $ conda init <SHELL_NAME>

Currently supported shells are:
  - bash
  - fish
  - tcsh
  - xonsh
  - zsh
  - powershell

See 'conda init --help' for more information and options.

IMPORTANT: You may need to close and restart your shell after running 'conda init'.



Due to MODULEPATH changes, the following have been reloaded:
  1) gmp/6.2.1     2) mpc/1.3.1     3) mpfr/4.2.0     4) zlib/1.2.13

Solving the problem via SBB...
	Maximum iteration: 100000000.0
	Maximum time: 86400
	Tolerance: 1E-03
Initialize the model...
	Root node lower bound: 0.32, upper bound: 0.33
	Total initialization CPU time: 3.03 s
Done.
Solving the model...
================================================================================
  iteration     CPU time    wall time  lower bound  upper bound     gap
         1        10.90         3.97       0.3170       0.3327   4.7355%
         2        16.52         6.08       0.3170       0.3327   4.7355%
         3        24.54         9.00       0.3170       0.3327   4.7355%
         4        27.51        10.20       0.3170       0.3327   4.7355%
         5        32.85        12.19       0.3170       0.3327   4.7355%
         6        37.04        13.82       0.3170       0.3327   4.7355%
         7        44.88        16.79       0.3170       0.3327   4.7355%
         8        48.74        18.30       0.3170       0.3327   4.7355%
         9        53.09        19.94       0.3170       0.3327   4.7355%
        10        55.80        21.07       0.3170       0.3327   4.7355%
        11        58.43        22.11       0.3170       0.3327   4.7355%
        12        60.42        22.93       0.3170       0.3327   4.7355%
        13        64.13        24.35       0.3170       0.3327   4.7355%
        14        66.07        25.17       0.3170       0.3327   4.7355%
        15        68.63        26.21       0.3170       0.3327   4.7355%
        16        70.63        27.06       0.3170       0.3327   4.7355%
        17        73.82        28.43       0.3170       0.3327   4.7355%
        18        75.86        29.32       0.3170       0.3327   4.7355%
        19        77.91        30.21       0.3170       0.3327   4.7355%
        20        79.98        31.09       0.3170       0.3327   4.7355%
        21        82.98        32.34       0.3170       0.3327   4.7355%
        22        84.99        33.27       0.3170       0.3327   4.7355%
        23        90.46        35.31       0.3170       0.3327   4.7355%
        24        93.10        36.38       0.3170       0.3327   4.7355%
        25        96.55        37.72       0.3170       0.3327   4.7355%
        26        98.95        38.69       0.3170       0.3327   4.7355%
        27       101.49        39.73       0.3170       0.3327   4.7355%
        28       103.43        40.58       0.3170       0.3327   4.7355%
        29       107.16        42.07       0.3170       0.3327   4.7355%
        30       108.99        42.87       0.3170       0.3327   4.7355%
        31       110.91        43.72       0.3170       0.3327   4.7355%
        32       112.74        44.51       0.3170       0.3327   4.7355%
        33       116.98        46.16       0.3170       0.3327   4.7355%
        34       119.32        47.16       0.3178       0.3327   4.4795%
        35       121.41        48.07       0.3178       0.3327   4.4795%
        36       123.57        48.97       0.3178       0.3327   4.4795%
        37       126.29        50.13       0.3178       0.3327   4.4795%
        38       128.02        50.96       0.3179       0.3327   4.4449%
        39       130.06        51.83       0.3179       0.3327   4.4449%
        40       132.18        52.76       0.3179       0.3327   4.4449%
        41       133.33        53.35       0.3179       0.3327   4.4449%
        42       135.37        54.27       0.3186       0.3327   4.2537%
        43       137.64        55.32       0.3186       0.3327   4.2537%
        44       139.25        56.09       0.3186       0.3327   4.2536%
        45       141.00        56.91       0.3186       0.3327   4.2536%
        46       142.90        57.76       0.3186       0.3327   4.2536%
        47       143.89        58.30       0.3186       0.3327   4.2536%
        48       145.65        59.12       0.3186       0.3327   4.2536%
        49       146.61        59.66       0.3186       0.3327   4.2536%
        50       148.31        60.42       0.3186       0.3327   4.2536%
        51       149.36        60.97       0.3186       0.3327   4.2536%
        52       151.08        61.80       0.3187       0.3327   4.2101%
        53       153.11        62.78       0.3188       0.3327   4.1915%
        54       154.65        63.47       0.3188       0.3327   4.1915%
        55       155.92        64.10       0.3188       0.3327   4.1915%
        56       157.63        64.88       0.3188       0.3327   4.1915%
        57       158.93        65.51       0.3188       0.3327   4.1915%
        58       159.76        66.01       0.3188       0.3327   4.1915%
        59       161.27        66.78       0.3188       0.3327   4.1846%
        60       162.61        67.48       0.3188       0.3327   4.1846%
        61       164.97        68.62       0.3188       0.3327   4.1846%
        62       166.18        69.29       0.3188       0.3327   4.1846%
        63       168.63        70.44       0.3189       0.3327   4.1524%
        64       169.60        70.97       0.3189       0.3327   4.1524%
        65       170.57        71.50       0.3189       0.3327   4.1524%
        66       171.52        72.02       0.3189       0.3327   4.1524%
        67       172.99        72.75       0.3189       0.3327   4.1524%
        68       174.38        73.45       0.3189       0.3327   4.1524%
        69       176.01        74.18       0.3189       0.3327   4.1524%
        70       177.75        74.98       0.3190       0.3327   4.1316%
        71       178.92        75.56       0.3190       0.3327   4.1274%
        72       180.11        76.17       0.3192       0.3327   4.0765%
        73       182.17        77.14       0.3192       0.3327   4.0765%
        74       184.19        78.06       0.3192       0.3327   4.0765%
        75       185.21        78.61       0.3192       0.3327   4.0765%
        76       186.92        79.43       0.3192       0.3327   4.0765%
        77       187.82        79.95       0.3192       0.3327   4.0765%
        78       189.06        80.55       0.3192       0.3327   4.0765%
        79       189.81        80.99       0.3192       0.3327   4.0765%
        80       191.23        81.69       0.3192       0.3327   4.0765%
        81       191.97        82.15       0.3192       0.3327   4.0765%
        82       192.69        82.61       0.3192       0.3327   4.0765%
        83       193.45        83.06       0.3192       0.3327   4.0765%
        84       194.22        83.53       0.3192       0.3327   4.0765%
        85       195.01        84.00       0.3192       0.3327   4.0765%
        86       196.49        84.73       0.3192       0.3327   4.0765%
        87       197.25        85.20       0.3192       0.3327   4.0765%
        88       198.91        86.02       0.3192       0.3327   4.0765%
        89       200.73        86.84       0.3192       0.3327   4.0739%
        90       201.56        87.35       0.3192       0.3327   4.0739%
        91       202.41        87.84       0.3192       0.3327   4.0739%
        92       203.85        88.56       0.3192       0.3327   4.0739%
        93       205.36        89.36       0.3192       0.3327   4.0739%
        94       206.73        90.04       0.3192       0.3327   4.0739%
        95       208.13        90.72       0.3192       0.3327   4.0739%
        96       209.50        91.39       0.3192       0.3327   4.0734%
        97       210.71        91.98       0.3192       0.3327   4.0668%
        98       211.91        92.57       0.3193       0.3327   4.0314%
        99       213.07        93.13       0.3193       0.3327   4.0314%
       100       214.19        93.67       0.3193       0.3327   4.0314%
       101       215.35        94.24       0.3193       0.3327   4.0244%
       102       218.09        95.43       0.3193       0.3327   4.0244%
       103       220.04        96.37       0.3193       0.3327   4.0243%
       104       222.01        97.29       0.3193       0.3327   4.0243%
       105       224.46        98.39       0.3194       0.3327   4.0109%
       106       225.02        98.79       0.3194       0.3327   4.0109%
       107       226.17        99.35       0.3194       0.3327   3.9974%
