---------------------------------------
Begin Slurm Prolog: Apr-22-2025 20:35:42
Job ID:    4134454
User ID:   jyang872
Account:   gts-jscott319
Job name:  pooling
Partition: cpu-large
QOS:       inferno
---------------------------------------

CommandNotFoundError: Your shell has not been properly configured to use 'conda deactivate'.
To initialize your shell, run

    $ conda init <SHELL_NAME>

Currently supported shells are:
  - bash
  - fish
  - tcsh
  - xonsh
  - zsh
  - powershell

See 'conda init --help' for more information and options.

IMPORTANT: You may need to close and restart your shell after running 'conda init'.



Due to MODULEPATH changes, the following have been reloaded:
  1) gmp/6.2.1     2) mpc/1.3.1     3) mpfr/4.2.0     4) zlib/1.2.13

Solving the problem via SBB...
	Maximum iteration: 100000000.0
	Maximum time: 86400
	Tolerance: 1E-03
Initialize the model...
	Root node lower bound: -1616.40, upper bound: -1338.25
	Total initialization CPU time: 5.21 s
Done.
Solving the model...
================================================================================
  iteration     CPU time    wall time  lower bound  upper bound     gap
         1        22.82        10.97   -1605.7662   -1338.2471   19.9903%
         2        27.05        13.82   -1605.7662   -1338.2471   19.9903%
         3        32.04        16.89   -1605.7662   -1338.2471   19.9903%
         4        39.26        21.26   -1605.7662   -1338.2471   19.9903%
         5        45.12        24.67   -1600.1083   -1338.2471   19.5675%
         6        51.54        27.86   -1561.4949   -1338.2471   16.6821%
         7        55.42        30.27   -1555.2371   -1338.2471   16.2145%
         8        60.59        33.49   -1529.9571   -1338.2471   14.3255%
         9        64.95        36.17   -1528.1616   -1338.2471   14.1913%
        10        68.27        37.90   -1522.8895   -1338.2471   13.7973%
        11        72.45        40.36   -1521.0940   -1338.2471   13.6632%
        12        76.06        42.42   -1512.2510   -1338.2471   13.0024%
        13        80.64        45.28   -1510.4554   -1338.2471   12.8682%
        14        83.52        46.90   -1492.2685   -1338.2471   11.5092%
        15        92.15        52.10   -1490.4730   -1338.2471   11.3750%
        16        96.54        54.15   -1490.4730   -1338.2471   11.3750%
        17       100.93        56.25   -1479.1978   -1338.2471   10.5325%
        18       103.71        57.87   -1476.2208   -1338.2471   10.3100%
        19       110.98        61.86   -1476.2208   -1338.2471   10.3100%
        20       137.42        72.88   -1476.2208   -1338.2471   10.3100%
        21       154.11        82.05   -1476.2208   -1338.2471   10.3100%
        22       168.45        89.58   -1475.5856   -1338.2471   10.2626%
        23       172.29        91.87   -1472.1303   -1338.2471   10.0044%
        24       175.56        93.78   -1470.5629   -1338.2471   9.8872%
        25       229.85       124.57   -1470.5629   -1338.2471   9.8872%
        26       243.41       131.62   -1469.8949   -1338.2471   9.8373%
        27       255.83       138.55   -1468.9351   -1338.2471   9.7656%
        28       258.77       140.15   -1466.9455   -1338.2471   9.6169%
        29       263.22       142.84   -1464.1992   -1338.2471   9.4117%
        30       269.40       147.18   -1462.8273   -1338.2471   9.3092%
        31       286.93       156.17   -1461.4917   -1338.2471   9.2094%
        32       290.64       158.16   -1460.0730   -1338.2471   9.1034%
        33       294.18       160.12   -1457.0285   -1338.2471   8.8759%
        34       300.52       164.33   -1456.7396   -1338.2471   8.8543%
        35       304.29       166.38   -1456.3069   -1338.2471   8.8220%
        36       309.83       169.00   -1454.3613   -1338.2471   8.6766%
        37       321.12       175.93   -1454.1211   -1338.2471   8.6586%
        38       333.98       183.25   -1453.2200   -1338.2471   8.5913%
        39       359.78       193.66   -1452.2791   -1338.2471   8.5210%
        40       364.38       195.80   -1452.2522   -1338.2471   8.5190%
        41       368.29       197.78   -1451.8685   -1338.2471   8.4903%
        42       371.08       199.19   -1451.7128   -1338.2471   8.4787%
        43       378.27       202.94   -1451.7128   -1338.2471   8.4787%
        44       386.50       207.34   -1451.1497   -1338.2471   8.4366%
        45       399.99       214.04   -1451.1497   -1338.2471   8.4366%
        46       418.21       222.02   -1448.6522   -1338.2471   8.2500%
        47       421.69       223.85   -1446.1661   -1338.2471   8.0642%
        48       434.20       231.07   -1444.6166   -1338.2471   7.9484%
        49       445.91       238.32   -1444.2393   -1338.2471   7.9202%
        50       449.83       240.73   -1444.0746   -1338.2471   7.9079%
        51       453.92       242.66   -1443.5869   -1338.2471   7.8715%
        52       457.59       244.58   -1441.5092   -1338.2471   7.7162%
        53       462.96       247.41   -1441.3103   -1338.2471   7.7014%
        54       473.10       254.82   -1441.2111   -1338.2471   7.6939%
        55       476.70       257.05   -1441.0159   -1338.2471   7.6794%
        56       481.11       259.08   -1440.3894   -1338.2471   7.6325%
        57       491.09       264.86   -1440.3619   -1338.2471   7.6305%
        58       495.71       268.06   -1440.0121   -1338.2471   7.6044%
        59       498.99       269.92   -1439.4332   -1338.2471   7.5611%
        60       501.63       271.73   -1439.1060   -1338.2471   7.5366%
        61       527.59       284.60   -1439.1060   -1338.2471   7.5366%
        62       540.13       290.36   -1438.4380   -1338.2471   7.4867%
        63       556.22       298.91   -1438.4380   -1338.2471   7.4867%
        64       570.42       305.98   -1438.4380   -1338.2471   7.4867%
        65       588.86       314.82   -1437.2658   -1338.2471   7.3991%
        66       593.42       317.43   -1435.6416   -1338.2471   7.2778%
        67       598.81       320.87   -1435.1856   -1338.2471   7.2437%
        68       601.92       322.42   -1435.0461   -1338.2471   7.2333%
        69       609.87       326.57   -1435.0461   -1338.2471   7.2333%
        70       617.59       330.60   -1434.1119   -1338.2471   7.1635%
        71       623.23       334.13   -1433.5278   -1338.2471   7.1198%
        72       629.09       338.21   -1433.4172   -1338.2471   7.1116%
        73       632.79       340.17   -1432.8114   -1338.2471   7.0663%
        74       636.66       342.62   -1430.6579   -1338.2471   6.9054%
        75       652.97       350.65   -1430.3099   -1338.2471   6.8794%
        76       670.19       358.91   -1430.1785   -1338.2471   6.8695%
        77       680.78       364.97   -1429.3735   -1338.2471   6.8094%
        78       683.50       367.00   -1428.9817   -1338.2471   6.7801%
        79       687.87       370.00   -1428.9356   -1338.2471   6.7767%
        80       692.78       372.73   -1428.4217   -1338.2471   6.7383%
        81       701.62       377.84   -1428.3455   -1338.2471   6.7326%
        82       707.56       381.08   -1428.3218   -1338.2471   6.7308%
        83       715.28       385.86   -1428.1701   -1338.2471   6.7195%
        84       719.06       387.80   -1427.9499   -1338.2471   6.7030%
        85       728.46       395.42   -1427.7272   -1338.2471   6.6864%
        86       733.76       398.42   -1427.6358   -1338.2471   6.6795%
        87       736.68       399.94   -1427.6358   -1338.2471   6.6795%
        88       740.54       401.73   -1427.6358   -1338.2471   6.6795%
        89       743.03       403.59   -1427.4388   -1338.2471   6.6648%
        90       745.25       404.94   -1427.2570   -1338.2471   6.6512%
        91       750.73       407.88   -1426.4189   -1338.2471   6.5886%
        92       754.97       409.85   -1426.4189   -1338.2471   6.5886%
        93       757.89       411.61   -1426.4189   -1338.2471   6.5886%
        94       760.84       413.57   -1425.9592   -1338.2471   6.5543%
        95       769.64       419.43   -1425.9592   -1338.2471   6.5543%
        96       778.82       424.83   -1425.8021   -1338.2471   6.5425%
        97       786.88       429.56   -1425.7785   -1338.2471   6.5407%
        98       791.16       432.30   -1425.5154   -1338.2471   6.5211%
        99       795.28       434.32   -1424.9812   -1338.2471   6.4812%
       100       798.50       436.50   -1424.7795   -1338.2471   6.4661%
       101       804.04       439.72   -1423.5159   -1338.2471   6.3717%
       102       806.66       441.58   -1423.4063   -1338.2471   6.3635%
       103       810.41       443.58   -1422.6689   -1338.2471   6.3084%
       104       813.87       445.31   -1422.4896   -1338.2471   6.2950%
       105       822.18       449.58   -1422.1541   -1338.2471   6.2699%
       106       825.38       451.36   -1420.9060   -1338.2471   6.1767%
       107       830.00       454.14   -1420.6022   -1338.2471   6.1540%
       108       835.94       457.35   -1420.2487   -1338.2471   6.1275%
       109       839.83       459.30   -1420.2031   -1338.2471   6.1241%
       110       845.21       462.16   -1420.2031   -1338.2471   6.1241%
       111       852.60       465.80   -1420.1561   -1338.2471   6.1206%
       112       858.54       470.24   -1420.1561   -1338.2471   6.1206%
       113       863.79       474.04   -1420.1561   -1338.2471   6.1206%
       114       869.73       478.45   -1419.6546   -1338.2471   6.0831%
       115       874.98       481.79   -1419.6450   -1338.2471   6.0824%
       116       878.18       483.56   -1419.6450   -1338.2471   6.0824%
       117       881.11       485.22   -1419.2759   -1338.2471   6.0548%
       118       883.90       487.04   -1418.9772   -1338.2471   6.0325%
       119       888.86       489.86   -1418.9749   -1338.2471   6.0324%
       120       896.71       494.12   -1418.1667   -1338.2471   5.9720%
       121       899.34       495.59   -1417.6380   -1338.2471   5.9325%
       122       901.79       496.98   -1417.3060   -1338.2471   5.9076%
       123       905.00       498.73   -1416.8611   -1338.2471   5.8744%
       124       911.61       502.34   -1416.7218   -1338.2471   5.8640%
       125       915.41       504.68   -1416.4189   -1338.2471   5.8414%
       126       918.21       506.25   -1415.9254   -1338.2471   5.8045%
       127       923.26       509.29   -1415.7947   -1338.2471   5.7947%
       128       928.56       513.10   -1415.6124   -1338.2471   5.7811%
       129       931.77       514.77   -1415.3510   -1338.2471   5.7616%
       130       934.76       516.88   -1415.3114   -1338.2471   5.7586%
       131       937.87       518.74   -1415.1707   -1338.2471   5.7481%
       132       942.54       521.69   -1415.1108   -1338.2471   5.7436%
       133       946.14       523.61   -1414.8017   -1338.2471   5.7205%
       134       953.98       528.09   -1414.6704   -1338.2471   5.7107%
       135       960.15       532.21   -1413.9913   -1338.2471   5.6600%
       136       968.06       537.25   -1412.9988   -1338.2471   5.5858%
       137       971.10       538.90   -1412.8137   -1338.2471   5.5720%
       138       982.96       544.86   -1412.7249   -1338.2471   5.5653%
       139       988.08       548.27   -1412.4985   -1338.2471   5.5484%
       140       992.16       550.42   -1412.4645   -1338.2471   5.5459%
       141       996.18       552.60   -1412.0451   -1338.2471   5.5145%
       142       999.02       554.23   -1411.9167   -1338.2471   5.5049%
       143      1003.92       556.62   -1411.6740   -1338.2471   5.4868%
       144      1011.57       560.91   -1411.5381   -1338.2471   5.4766%
       145      1013.99       562.45   -1411.3356   -1338.2471   5.4615%
       146      1017.67       564.45   -1411.2789   -1338.2471   5.4573%
       147      1024.54       568.75   -1411.2789   -1338.2471   5.4573%
       148      1031.31       572.74   -1411.1563   -1338.2471   5.4481%
       149      1036.70       575.61   -1410.8658   -1338.2471   5.4264%
       150      1039.58       577.41   -1410.7491   -1338.2471   5.4177%
       151      1043.47       579.50   -1410.7491   -1338.2471   5.4177%
       152      1047.05       581.52   -1410.7117   -1338.2471   5.4149%
       153      1050.39       583.31   -1410.6483   -1338.2471   5.4102%
       154      1052.68       585.10   -1410.6111   -1338.2471   5.4074%
       155      1058.79       588.29   -1410.5581   -1338.2471   5.4034%
       156      1062.48       590.42   -1409.7522   -1338.2471   5.3432%
       157      1066.69       592.55   -1409.3025   -1338.2471   5.3096%
       158      1069.28       594.52   -1409.1355   -1338.2471   5.2971%
       159      1081.01       602.62   -1408.9003   -1338.2471   5.2795%
