---------------------------------------
Begin Slurm Prolog: Apr-22-2025 20:35:42
Job ID:    4134453
User ID:   jyang872
Account:   gts-jscott319
Job name:  process
Partition: cpu-large
QOS:       inferno
---------------------------------------

CommandNotFoundError: Your shell has not been properly configured to use 'conda deactivate'.
To initialize your shell, run

    $ conda init <SHELL_NAME>

Currently supported shells are:
  - bash
  - fish
  - tcsh
  - xonsh
  - zsh
  - powershell

See 'conda init --help' for more information and options.

IMPORTANT: You may need to close and restart your shell after running 'conda init'.



Due to MODULEPATH changes, the following have been reloaded:
  1) gmp/6.2.1     2) mpc/1.3.1     3) mpfr/4.2.0     4) zlib/1.2.13

Solving the problem via SBB...
	Maximum iteration: 100000000.0
	Maximum time: 86400
	Tolerance: 1E-03
Initialize the model...
	Root node lower bound: -1131.77, upper bound: -1126.42
	Total initialization CPU time: 1.65 s
Done.
Solving the model...
================================================================================
  iteration     CPU time    wall time  lower bound  upper bound     gap
         1         7.55         2.84   -1131.7696   -1126.4218   0.4748%
         2        12.47         4.76   -1131.7696   -1126.4218   0.4748%
         3        15.04         6.00   -1131.7696   -1126.4218   0.4748%
         4        16.95         6.98   -1131.7696   -1126.4218   0.4748%
         5        21.13         8.61   -1131.7696   -1126.4218   0.4748%
         6        28.04        11.29   -1131.7696   -1126.4218   0.4748%
         7        30.14        12.21   -1131.7696   -1126.4218   0.4748%
         8        31.83        13.14   -1131.7696   -1126.4218   0.4748%
         9        33.78        13.94   -1131.7696   -1126.4218   0.4748%
        10        36.61        15.09   -1131.7696   -1126.4218   0.4748%
        11        38.10        15.78   -1131.7696   -1126.4218   0.4748%
        12        39.68        16.53   -1131.7696   -1126.4218   0.4748%
        13        41.46        17.32   -1131.7696   -1126.4218   0.4748%
        14        42.87        17.97   -1131.7696   -1126.4218   0.4748%
        15        44.01        18.53   -1131.7696   -1126.4218   0.4748%
        16        45.28        19.12   -1131.7696   -1126.4218   0.4748%
        17        46.47        19.69   -1131.7696   -1126.4218   0.4748%
        18        47.69        20.27   -1131.7696   -1126.4218   0.4748%
        19        48.77        20.78   -1131.7696   -1126.4218   0.4748%
        20        49.56        21.37   -1131.7696   -1126.4218   0.4748%
        21        50.33        21.96   -1131.7696   -1126.4218   0.4748%
        22        51.45        22.49   -1131.7696   -1126.4218   0.4748%
        23        52.53        23.03   -1131.7696   -1126.4218   0.4748%
        24        53.62        23.54   -1131.7696   -1126.4218   0.4748%
        25        54.71        24.07   -1131.7696   -1126.4218   0.4748%
        26        55.89        24.62   -1131.7696   -1126.4218   0.4748%
        27        57.02        25.18   -1131.7696   -1126.4218   0.4748%
        28        58.13        25.73   -1131.7696   -1126.4218   0.4748%
        29        59.17        26.24   -1131.7696   -1126.4218   0.4748%
        30        59.92        26.81   -1131.7696   -1126.4218   0.4748%
        31        60.89        27.27   -1131.7696   -1126.4218   0.4748%
        32        61.89        27.77   -1131.7696   -1126.4218   0.4748%
        33        62.65        28.32   -1131.7696   -1126.4218   0.4748%
        34        63.68        28.82   -1131.7696   -1126.4218   0.4748%
        35        64.43        29.38   -1131.7696   -1126.4218   0.4748%
        36        65.21        29.97   -1131.7696   -1126.4218   0.4748%
        37        65.97        30.53   -1131.7696   -1126.4218   0.4748%
        38        66.74        31.16   -1131.7696   -1126.4218   0.4748%
        39        67.67        31.66   -1131.7694   -1126.4218   0.4747%
        40        68.62        32.13   -1131.7687   -1126.4218   0.4747%
        41        69.70        32.70   -1131.7687   -1126.4218   0.4747%
        42        70.94        33.32   -1131.7687   -1126.4218   0.4747%
        43        72.36        34.00   -1131.7687   -1126.4218   0.4747%
        44        73.53        34.56   -1131.7696   -1126.4218   0.4748%
        45        74.64        35.08   -1131.7696   -1126.4218   0.4748%
        46        75.79        35.65   -1131.7696   -1126.4218   0.4748%
        47        77.00        36.21   -1131.7696   -1126.4218   0.4748%
        48        78.03        36.72   -1131.7696   -1126.4218   0.4748%
        49        78.84        37.33   -1131.7696   -1126.4218   0.4748%
        50        79.91        37.84   -1131.7696   -1126.4218   0.4748%
        51        81.02        38.39   -1131.7696   -1126.4218   0.4748%
        52        82.12        38.91   -1131.7687   -1126.4218   0.4747%
        53        83.10        39.36   -1131.7683   -1126.4218   0.4746%
        54        83.87        39.93   -1131.7562   -1126.4218   0.4736%
        55        84.65        40.52   -1131.7505   -1126.4218   0.4731%
        56        85.37        41.05   -1131.7469   -1126.4218   0.4727%
        57        86.15        41.61   -1131.7161   -1126.4218   0.4700%
        58        87.17        42.10   -1131.6952   -1126.4218   0.4682%
        59        87.92        42.65   -1131.6877   -1126.4218   0.4675%
        60        88.77        43.17   -1131.6862   -1126.4218   0.4674%
        61        89.82        43.66   -1131.6676   -1126.4218   0.4657%
        62        90.55        44.23   -1131.6643   -1126.4218   0.4654%
        63        91.28        44.77   -1131.6627   -1126.4218   0.4653%
        64        92.12        45.31   -1131.6442   -1126.4218   0.4636%
        65        92.88        45.89   -1131.5940   -1126.4218   0.4592%
        66        93.89        46.38   -1131.5643   -1126.4218   0.4565%
        67        94.95        46.90   -1131.5229   -1126.4218   0.4529%
        68        95.78        47.41   -1131.5192   -1126.4218   0.4525%
        69        96.78        47.89   -1131.5097   -1126.4218   0.4517%
        70        97.50        48.44   -1131.5065   -1126.4218   0.4514%
        71        98.30        49.00   -1131.4935   -1126.4218   0.4502%
        72        99.28        49.49   -1131.4576   -1126.4218   0.4471%
        73       100.13        50.02   -1131.4398   -1126.4218   0.4455%
        74       100.86        50.57   -1131.4240   -1126.4218   0.4441%
        75       101.84        51.04   -1131.4205   -1126.4218   0.4438%
        76       102.59        51.61   -1131.3849   -1126.4218   0.4406%
        77       103.39        52.20   -1131.3547   -1126.4218   0.4379%
