---------------------------------------
Begin Slurm Prolog: Apr-24-2025 13:17:51
Job ID:    4157958
User ID:   jyang872
Account:   gts-jscott319
Job name:  ex8_4_4
Partition: cpu-large
QOS:       inferno
---------------------------------------

CommandNotFoundError: Your shell has not been properly configured to use 'conda deactivate'.
To initialize your shell, run

    $ conda init <SHELL_NAME>

Currently supported shells are:
  - bash
  - fish
  - tcsh
  - xonsh
  - zsh
  - powershell

See 'conda init --help' for more information and options.

IMPORTANT: You may need to close and restart your shell after running 'conda init'.



Due to MODULEPATH changes, the following have been reloaded:
  1) gmp/6.2.1     2) mpc/1.3.1     3) mpfr/4.2.0     4) zlib/1.2.13

Solving the problem via SBB...
	Maximum iteration: 100000000.0
	Maximum time: 86400
	Tolerance: 1E-03
Initialize the model...
	Root node lower bound: 0.32, upper bound: 0.33
	Total initialization CPU time: 4.13 s
Done.
Solving the model...
================================================================================
  iteration     CPU time    wall time  lower bound  upper bound     gap
         1        13.65         6.76       0.3170       0.3327   4.7357%
         2        20.30         9.86       0.3170       0.3327   4.7357%
         3        30.13        14.57       0.3170       0.3327   4.7357%
         4        33.68        16.31       0.3170       0.3327   4.7357%
         5        40.14        19.43       0.3170       0.3327   4.7357%
         6        45.06        21.81       0.3170       0.3327   4.7357%
         7        54.30        26.28       0.3170       0.3327   4.7357%
         8        59.02        28.64       0.3170       0.3327   4.7357%
         9        64.36        31.19       0.3170       0.3327   4.7357%
        10        67.56        32.80       0.3170       0.3327   4.7357%
        11        70.67        34.31       0.3170       0.3327   4.7357%
        12        73.09        35.54       0.3170       0.3327   4.7357%
        13        77.54        37.68       0.3170       0.3327   4.7357%
        14        79.92        39.01       0.3170       0.3327   4.7357%
        15        82.95        40.48       0.3170       0.3327   4.7357%
        16        85.34        41.66       0.3170       0.3327   4.7357%
        17        89.23        43.71       0.3170       0.3327   4.7357%
        18        91.62        44.93       0.3170       0.3327   4.7357%
        19        94.06        46.17       0.3170       0.3327   4.7357%
        20        96.51        47.40       0.3170       0.3327   4.7357%
        21       100.09        49.23       0.3170       0.3327   4.7357%
        22       102.53        50.53       0.3170       0.3327   4.7357%
        23       109.15        53.60       0.3170       0.3327   4.7357%
        24       112.25        55.12       0.3170       0.3327   4.7357%
        25       116.32        57.10       0.3170       0.3327   4.7357%
        26       119.20        58.53       0.3170       0.3327   4.7357%
        27       122.14        59.99       0.3170       0.3327   4.7357%
        28       124.46        61.17       0.3170       0.3327   4.7357%
        29       128.90        63.36       0.3170       0.3327   4.7357%
        30       131.08        64.50       0.3170       0.3327   4.7357%
        31       133.41        65.69       0.3170       0.3327   4.7357%
        32       135.55        66.79       0.3170       0.3327   4.7357%
        33       140.57        69.25       0.3170       0.3327   4.7357%
        34       143.23        70.57       0.3178       0.3327   4.4798%
        35       145.63        71.80       0.3178       0.3327   4.4798%
        36       148.14        73.02       0.3178       0.3327   4.4798%
        37       151.41        74.74       0.3178       0.3327   4.4798%
        38       153.64        76.05       0.3179       0.3327   4.4452%
        39       156.10        77.34       0.3179       0.3327   4.4452%
        40       158.63        78.69       0.3179       0.3327   4.4452%
        41       159.99        79.45       0.3179       0.3327   4.4452%
        42       162.50        80.81       0.3186       0.3327   4.2540%
        43       165.23        82.29       0.3186       0.3327   4.2540%
        44       167.07        83.30       0.3186       0.3327   4.2539%
        45       169.05        84.34       0.3186       0.3327   4.2539%
        46       171.20        85.47       0.3186       0.3327   4.2539%
        47       172.36        86.16       0.3186       0.3327   4.2539%
        48       174.39        87.24       0.3186       0.3327   4.2539%
        49       175.46        87.86       0.3186       0.3327   4.2539%
        50       177.24        88.76       0.3186       0.3327   4.2539%
        51       178.40        89.41       0.3186       0.3327   4.2539%
        52       180.54        90.53       0.3187       0.3327   4.2104%
        53       183.04        92.01       0.3188       0.3327   4.1918%
        54       184.83        92.93       0.3188       0.3327   4.1918%
        55       186.38        93.81       0.3188       0.3327   4.1918%
        56       188.51        95.00       0.3188       0.3327   4.1918%
        57       190.35        95.98       0.3188       0.3327   4.1918%
        58       191.37        96.61       0.3188       0.3327   4.1918%
        59       193.24        97.71       0.3188       0.3327   4.1849%
        60       194.88        98.68       0.3188       0.3327   4.1849%
        61       197.69       100.28       0.3188       0.3327   4.1849%
        62       199.17       101.21       0.3188       0.3327   4.1849%
        63       202.07       102.75       0.3189       0.3327   4.1527%
        64       203.15       103.39       0.3189       0.3327   4.1527%
        65       204.25       104.03       0.3189       0.3327   4.1527%
        66       205.34       104.67       0.3189       0.3327   4.1527%
        67       207.08       105.63       0.3189       0.3327   4.1527%
        68       208.64       106.44       0.3189       0.3327   4.1527%
        69       210.50       107.41       0.3189       0.3327   4.1527%
        70       212.59       108.57       0.3190       0.3327   4.1319%
        71       213.88       109.24       0.3190       0.3327   4.1277%
        72       215.26       110.02       0.3192       0.3327   4.0767%
        73       217.66       111.35       0.3192       0.3327   4.0767%
