---------------------------------------
Begin Slurm Prolog: Apr-24-2025 13:18:03
Job ID:    4157961
User ID:   jyang872
Account:   gts-jscott319
Job name:  pooling
Partition: cpu-large
QOS:       inferno
---------------------------------------

CommandNotFoundError: Your shell has not been properly configured to use 'conda deactivate'.
To initialize your shell, run

    $ conda init <SHELL_NAME>

Currently supported shells are:
  - bash
  - fish
  - tcsh
  - xonsh
  - zsh
  - powershell

See 'conda init --help' for more information and options.

IMPORTANT: You may need to close and restart your shell after running 'conda init'.



Due to MODULEPATH changes, the following have been reloaded:
  1) gmp/6.2.1     2) mpc/1.3.1     3) mpfr/4.2.0     4) zlib/1.2.13

Solving the problem via SBB...
	Maximum iteration: 100000000.0
	Maximum time: 86400
	Tolerance: 1E-03
Initialize the model...
	Root node lower bound: -1616.40, upper bound: -1338.25
	Total initialization CPU time: 28.00 s
Done.
Solving the model...
================================================================================
  iteration     CPU time    wall time  lower bound  upper bound     gap
         1        45.77        34.16   -1605.7662   -1338.2471   19.9903%
         2        51.55        38.59   -1605.7662   -1338.2471   19.9903%
         3        56.85        42.00   -1605.7662   -1338.2471   19.9903%
         4       100.60        83.03   -1605.7662   -1338.2471   19.9903%
         5       106.75        86.79   -1600.1083   -1338.2471   19.5675%
         6       113.44        90.29   -1561.4949   -1338.2471   16.6821%
         7       117.45        92.80   -1555.2371   -1338.2471   16.2145%
         8       122.86        96.02   -1529.9571   -1338.2471   14.3255%
         9       127.48        99.07   -1528.1616   -1338.2471   14.1913%
        10       131.12       101.10   -1522.8895   -1338.2471   13.7973%
        11       135.53       103.87   -1521.0940   -1338.2471   13.6632%
        12       141.55       108.66   -1512.2510   -1338.2471   13.0024%
        13       171.97       137.16   -1510.4554   -1338.2471   12.8682%
        14       175.11       139.13   -1492.2685   -1338.2471   11.5092%
        15       184.02       144.61   -1490.4730   -1338.2471   11.3750%
        16       188.62       146.97   -1490.4730   -1338.2471   11.3750%
        17       193.18       149.61   -1479.1978   -1338.2471   10.5325%
        18       196.37       151.94   -1476.2208   -1338.2471   10.3100%
        19       214.86       167.08   -1476.2208   -1338.2471   10.3100%
        20       448.76       385.85   -1476.2208   -1338.2471   10.3100%
        21       499.72       429.40   -1476.2208   -1338.2471   10.3100%
        22       514.51       437.31   -1475.5856   -1338.2471   10.2626%
        23       518.50       440.41   -1472.1303   -1338.2471   10.0044%
        24       523.42       443.66   -1470.5629   -1338.2471   9.8872%
        25      1585.36      1481.13   -1470.5629   -1338.2471   9.8872%
        26      1599.29      1488.59   -1469.8949   -1338.2471   9.8373%
        27      1611.99      1495.82   -1468.9351   -1338.2471   9.7656%
        28      1615.29      1498.11   -1466.9455   -1338.2471   9.6169%
        29      1620.03      1501.41   -1464.1992   -1338.2471   9.4117%
        30      1626.57      1505.63   -1462.8273   -1338.2471   9.3092%
        31      1644.43      1514.51   -1461.4917   -1338.2471   9.2094%
        32      1648.60      1516.66   -1460.0730   -1338.2471   9.1034%
        33      1652.49      1518.98   -1457.0285   -1338.2471   8.8759%
        34      1659.07      1524.08   -1456.7396   -1338.2471   8.8543%
        35      1663.48      1526.70   -1456.3069   -1338.2471   8.8220%
        36      1669.51      1529.75   -1454.3613   -1338.2471   8.6766%
        37      1681.32      1536.68   -1454.1211   -1338.2471   8.6586%
        38      1694.53      1544.36   -1453.2200   -1338.2471   8.5913%
