---------------------------------------
Begin Slurm Prolog: Apr-24-2025 13:17:38
Job ID:    4157956
User ID:   jyang872
Account:   gts-jscott319
Job name:  process
Partition: cpu-large
QOS:       inferno
---------------------------------------

CommandNotFoundError: Your shell has not been properly configured to use 'conda deactivate'.
To initialize your shell, run

    $ conda init <SHELL_NAME>

Currently supported shells are:
  - bash
  - fish
  - tcsh
  - xonsh
  - zsh
  - powershell

See 'conda init --help' for more information and options.

IMPORTANT: You may need to close and restart your shell after running 'conda init'.



Due to MODULEPATH changes, the following have been reloaded:
  1) gmp/6.2.1     2) mpc/1.3.1     3) mpfr/4.2.0     4) zlib/1.2.13

Solving the problem via SBB...
	Maximum iteration: 100000000.0
	Maximum time: 86400
	Tolerance: 1E-03
Initialize the model...
	Root node lower bound: -1131.77, upper bound: -1126.42
	Total initialization CPU time: 3.50 s
Done.
Solving the model...
================================================================================
  iteration     CPU time    wall time  lower bound  upper bound     gap
         1        19.83        15.03   -1131.7696   -1126.4218   0.4748%
         2        32.26        24.33   -1131.7696   -1126.4218   0.4748%
         3        36.79        27.50   -1131.7696   -1126.4218   0.4748%
         4        40.05        29.75   -1131.7696   -1126.4218   0.4748%
         5        54.68        41.67   -1131.7696   -1126.4218   0.4748%
         6        68.70        51.35   -1131.7696   -1126.4218   0.4748%
         7        72.91        54.31   -1131.7696   -1126.4218   0.4748%
         8        75.79        56.40   -1131.7696   -1126.4218   0.4748%
         9        78.34        57.80   -1131.7696   -1126.4218   0.4748%
        10        83.09        60.75   -1131.7696   -1126.4218   0.4748%
        11        85.08        61.94   -1131.7696   -1126.4218   0.4748%
        12        87.16        63.18   -1131.7696   -1126.4218   0.4748%
        13        90.00        64.95   -1131.7696   -1126.4218   0.4748%
        14        92.01        66.17   -1131.7696   -1126.4218   0.4748%
        15        93.62        67.13   -1131.7696   -1126.4218   0.4748%
        16        95.30        68.10   -1131.7696   -1126.4218   0.4748%
        17        97.10        69.25   -1131.7696   -1126.4218   0.4748%
        18        98.81        70.27   -1131.7696   -1126.4218   0.4748%
        19       100.22        71.10   -1131.7696   -1126.4218   0.4748%
        20       101.29        71.92   -1131.7696   -1126.4218   0.4748%
        21       102.19        72.60   -1131.7696   -1126.4218   0.4748%
        22       103.51        73.30   -1131.7696   -1126.4218   0.4748%
        23       104.80        73.98   -1131.7696   -1126.4218   0.4748%
        24       106.19        74.76   -1131.7696   -1126.4218   0.4748%
        25       107.62        75.60   -1131.7696   -1126.4218   0.4748%
        26       109.34        76.63   -1131.7696   -1126.4218   0.4748%
        27       110.77        77.42   -1131.7696   -1126.4218   0.4748%
        28       112.14        78.21   -1131.7696   -1126.4218   0.4748%
        29       113.50        79.00   -1131.7696   -1126.4218   0.4748%
        30       114.38        79.67   -1131.7696   -1126.4218   0.4748%
        31       115.56        80.30   -1131.7696   -1126.4218   0.4748%
        32       116.74        80.95   -1131.7696   -1126.4218   0.4748%
        33       117.61        81.57   -1131.7696   -1126.4218   0.4748%
        34       118.92        82.31   -1131.7696   -1126.4218   0.4748%
        35       119.85        83.03   -1131.7696   -1126.4218   0.4748%
        36       120.72        83.66   -1131.7696   -1126.4218   0.4748%
        37       121.57        84.30   -1131.7696   -1126.4218   0.4748%
        38       122.42        84.95   -1131.7696   -1126.4218   0.4748%
        39       123.55        85.57   -1131.7694   -1126.4218   0.4747%
        40       124.71        86.20   -1131.7687   -1126.4218   0.4747%
        41       126.04        87.06   -1131.7687   -1126.4218   0.4747%
        42       127.56        87.95   -1131.7687   -1126.4218   0.4747%
        43       129.49        89.12   -1131.7687   -1126.4218   0.4747%
        44       130.83        89.87   -1131.7696   -1126.4218   0.4748%
        45       132.26        90.65   -1131.7696   -1126.4218   0.4748%
